"Var.1","06_18-Ray-GS-b3","06_18-Ray-G-c5","06_18-Fro-GS-a1","05_07_18-SenV-a7","05_07_18-Ger-a5","05_07_18-OrgeS-a5","05_07_18-Patur-a5","03_18-Soi-S-b2","05_07_18-Patur-a6","05_07_18-Patur-a4","06_18-Fro-GS-c3","05_07_18-Patur-a3","06_18-Fro-G-b3","05_07_18-SenV-a4","05_07_18-Patur-a7","06_18-Ray-GS-c5","05_07_18-OrgeS-a4","06_18-Ray-GS-a3","05_07_18-Ger-a4","06_18-Fro-GS-c4","06_18-Fro-GS-a3","06_18-Ray-G-b5","06_18-Cel-S-c2","06_18-Ray-G-a2","06_18-Ray-G-c4","06_18-Ray-GS-c4","06_18-Ray-G-a5","05_07_18-Ger-a3","06_18-Fro-GS-b1","05_07_18-PLaL-a3","06_18-Soi-GS-c2","06_18-Fro-GS-b3","06_18-Ray-G-b3","05_07_18-Ger-a2","06_18-Cel-GS-c5","06_18-Apa-GS-c2","05_07_18-OrgeS-a6","03_18-Soi-S-c3","06_18-Fro-G-a5","06_18-Fro-G-a2","06_18-Fro-GS-a5","06_18-Apa-S-c3","06_18-Soi-GS-c3","06_18-Apa-GS-c5","06_18-Apa-GS-c3","05_07_18-SenV-a5","05_07_18-SenV-a2","06_18-Fro-G-c3","05_07_18-OrgeS-a3","06_18-Apa-GS-c4","06_18-Soi-S-b1","06_18-Cel-S-c5","06_18-Cel-GS-c1","06_18-Fro-GS-a2","06_18-Cel-S-b1","06_18-Soi-S-c4","06_18-Soi-GS-c4","05_18-Apa-S-c4","05_07_18-PLaL-a7","05_07_18-Patur-a2","06_18-Cel-S-c3","06_18-Ray-GS-a2","05_07_18-PLaL-a6","05_07_18-OrgeS-a7","06_18-Cel-S-a2","03_18-Soi-GS-c3","06_18-Ray-GS-a4","06_18-Soi-S-b2","06_18-Cel-S-b4","03_18-Apa-S-b1","06_18-Cel-S-b5","06_18-Ray-GS-c2","06_18-Apa-GS-a1","03_18-Soi-S-c4","06_18-Fro-G-a4","06_18-Cel-GS-c3","06_18-Ray-G-a3","06_18-Cel-S-c4","06_18-Apa-GS-c1","06_18-Ray-GS-a5","06_18-Cel-GS-c4","06_18-Fro-G-a3","06_18-Apa-S-a1","06_18-Cel-S-a4","03_18-Soi-GS-c4","03_18-Cel-S-c2","06_18-Apa-GS-a2","06_18-Cel-GS-c2","06_18-Soi-GS-c1","03_18-Cel-S-b2","06_18-Ray-GS-b5","06_18-Apa-S-b3","03_18-Cel-S-c4","06_18-Apa-S-a2","05_18-Apa-S-b2","06_18-Ray-GS-c3","06_18-Cel-GS-b3","06_18-Cel-GS-b2","06_18-Apa-S-a3","05_07_18-PLaL-a2"
1141,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,228,0,0,0,419,0,0,132,0,21,0,0,0,0,0
706,0,0,19,24,73,0,0,0,4,0,0,0,0,10,0,2566,73,0,0,0,91,0,0,37,115,0,176,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
1182,8,38,0,44,147,0,0,98,0,16,0,0,0,129,0,0,0,38,99,0,20,0,0,0,0,0,21,34,0,0,0,0,0,17,0,0,82,35,152,0,0,0,0,0,0,38,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,40,0,0,0,593,0,22,0,118,0,0,24,0,0,0,0,0,0,0,0,359,0,0,24,620,0,0,741,0,44,0,0,0,0,0
1456,0,0,24,0,129,0,305,28,375,1215,0,1785,1081,33,760,0,37,25,103,0,9,0,0,64,47,27,153,68,0,24,0,0,81,0,0,0,0,0,409,25,0,0,8,0,0,101,0,126,464,0,0,0,0,0,0,0,12,0,61,104,0,118,20,0,0,0,0,0,0,0,0,28,0,25,143,0,20,0,0,12,0,45,0,0,0,0,0,0,23,0,0,0,29,0,0,0,0,0,0,16
643,0,0,0,0,33,0,58,14,225,210,0,219,0,0,319,0,0,0,42,12,0,0,0,8,132,33,0,14,0,11,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,12,0,0,0,0,0,0,0,207,0,0,0,0,19,135,0,0,20,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,19,0,0,0,9,0,0,82,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,168,0,0,0,654,14,0,1122,0,0,15,0,0,0,0
136,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,16,26,0,1993,0,0,0,110,0,0,78,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2366,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
1172,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,526,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,360,0,0,787,0,15,0,0,0,0,0
49,0,865,13,0,0,0,133,0,1338,1365,137,365,12,55,680,0,0,0,86,102,0,0,0,126,52,47,29,50,12,105,13,45,29,130,0,0,129,0,0,34,17,0,0,0,0,29,0,107,62,0,0,0,0,445,0,0,0,0,40,310,0,236,92,218,0,0,0,0,0,0,0,48,0,0,52,0,48,0,0,7,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,36,0,0,0,19
1436,0,53,0,0,79,0,239,0,387,445,360,207,0,0,746,0,12,0,464,1364,154,0,0,51,0,17,18,47,308,169,63,662,20,19,0,0,101,0,0,567,254,0,0,0,0,16,0,47,0,0,0,0,0,386,0,0,0,0,634,537,0,46,497,0,0,0,0,0,0,0,0,52,0,0,134,0,50,0,0,0,0,25,0,0,0,0,0,0,72,0,26,0,0,0,0,0,0,0,0,0
